[00:00:00.000] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 10, y: 0, width: 2, height: 12 }
[00:00:00.002] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 0, y: 16, width: 2, height: 2 }
[00:00:00.050] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 11, y: 0, width: 2, height: 12 }
[00:00:00.052] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 1, y: 17, width: 2, height: 2 }
[00:00:00.101] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 12, y: 0, width: 2, height: 12 }
[00:00:00.103] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 2, y: 18, width: 2, height: 2 }
[00:00:00.152] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 13, y: 0, width: 2, height: 12 }
[00:00:00.155] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 3, y: 19, width: 2, height: 2 }
[00:00:00.203] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 14, y: 0, width: 2, height: 12 }
[00:00:00.205] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 4, y: 20, width: 2, height: 2 }
[00:00:00.254] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 15, y: 0, width: 2, height: 12 }
[00:00:00.256] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 5, y: 21, width: 2, height: 2 }
[00:00:00.305] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 16, y: 0, width: 2, height: 12 }
[00:00:00.307] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 6, y: 22, width: 2, height: 2 }
[00:00:00.356] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 17, y: 0, width: 2, height: 12 }
[00:00:00.358] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 7, y: 23, width: 2, height: 2 }
[00:00:00.406] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 18, y: 0, width: 2, height: 12 }
[00:00:00.408] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 8, y: 24, width: 2, height: 2 }
[00:00:00.457] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 19, y: 0, width: 2, height: 12 }
[00:00:00.460] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 9, y: 25, width: 2, height: 2 }
[00:00:00.508] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 20, y: 0, width: 2, height: 12 }
[00:00:00.510] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 10, y: 26, width: 2, height: 2 }
[00:00:00.558] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 21, y: 0, width: 2, height: 12 }
[00:00:00.560] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 11, y: 27, width: 2, height: 2 }
[00:00:00.601] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 22, y: 0, width: 2, height: 12 }
[00:00:00.604] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 12, y: 25, width: 2, height: 2 }
[00:00:00.609] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 23, y: 0, width: 2, height: 12 }
[00:00:00.611] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 13, y: 26, width: 2, height: 2 }
[00:00:00.660] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 24, y: 0, width: 2, height: 12 }
[00:00:00.662] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 14, y: 27, width: 2, height: 2 }
[00:00:00.710] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 25, y: 0, width: 2, height: 12 }
[00:00:00.713] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 15, y: 28, width: 2, height: 2 }
[00:00:00.761] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 26, y: 0, width: 2, height: 12 }
[00:00:00.763] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 16, y: 29, width: 2, height: 2 }
[00:00:00.812] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 27, y: 0, width: 2, height: 12 }
[00:00:00.814] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 17, y: 30, width: 2, height: 2 }
[00:00:00.862] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 28, y: 0, width: 2, height: 12 }
[00:00:00.864] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 18, y: 31, width: 2, height: 2 }
[00:00:00.913] (7f46bfe660c0) DEBUG  Rendering pipe: Rect { x: 29, y: 0, width: 2, height: 12 }
[00:00:00.915] (7f46bfe660c0) DEBUG  Rendering bird: Rect { x: 19, y: 32, width: 2, height: 2 }
